상장 시기(상장월),최근 공모주 동향(최근 3개월 내의 종속변수 1인 갯수),최근 3개월 공모주 수,"최근 ""따"" 비율",희망공모가_하한,희망공모가_상한,공모가,밴드수익률(공모가/공모가_상한),기관경쟁률,청약경쟁률,의무보유확약,대표주간사,IPO 주간사 순위,총 공모주식 수,구주매출(비율),매출액(백만원),순이익(백만원),자본금(백만원),전문투자자(비율),우리사주조합(비율),일반청약자(비율),공모후 상장주식수(주식수),유통가능주식합계(비율),ROE,종속변수
2,2,16,0.1447538613374708,11757,14378,16242,1.1266369278489194,998.5781839123474,1545.3817885039311,0.5392094470692018,3,1,1997889,0.0801762782982795,69596,8605,4877,0.6363230834303446,0.15156922209287382,0.21210769447678154,9748323,0.4356968791933788,178.79938514244608,1
5,1,4,0.25388624193003406,13591,15908,18507,1.1598560651137024,744.2849645891272,78861.90943568418,0.512292028853114,9,7,2004318,0.004192823237847885,34451,2254,5216,0.6021590232944634,0.19712130227404884,0.2007196744314878,10597121,0.35921980342431364,44.85711638035768,1
3,6,19,0.31767854718986166,5183,6321,6907,1.0976785471898618,1834.6841567546421,2373.9907219742695,0.10296912242777537,12,10,6261156,0.2924031705203121,74610,3499,3602,0.6883927359493084,0.061607264050691626,0.25,25791956,0.28105708080604586,139.6010268242133,1
11,7,24,0.311259498015867,5384,6720,7322,1.0873604227234805,1310.987544090005,1339.6401010260972,0.09081285073100438,9,13,1629585,0.37415776379906857,20937,3400,5999,0.6976998678989124,0.10230013210108764,0.2,11967798,0.3910214900898017,56.60704119531168,1
4,0,2,0.004480168255086715,8085,9134,11052,1.2110396634898266,853.5929075270836,1209.412034519568,0.410845659419825,5,1,1204072,0.0,4360,254,3658,0.6516291520927588,0.14877813593043088,0.2,6671132,0.37608874014054744,7.52079732585652,1
2,1,16,0.11433618247966978,8719,10752,11790,1.0545717007181288,504.83417491873496,976.8975890178303,0.12154535958483847,1,12,1200000,0.0,5715,571,3225,0.6289078831977986,0.17109211680220146,0.2,6453050,0.591197131467634,17.642089415479063,1
5,3,8,0.29706133452858746,11007,13140,15110,1.147768150469805,1121.8710299524255,1014.3268923618015,0.3696889153601838,5,3,2366646,0.0,17153,-3110,8367,0.7851828929690012,0.0,0.21481710703099882,16737197,0.43659686269531134,-42.64890005363544,1
5,7,19,0.34286169967104285,10362,12814,14129,1.0946487107642815,1174.3179546689778,1393.5774599155138,0.2975047929459034,9,6,1863920,0.33287324355382136,33148,3521,2959,0.7368078319638872,0.06319216803611277,0.2,5920392,0.34678986441251486,118.2725198300223,1
2,6,13,0.47847648465677967,3282,4076,4076,1.0,1544.9846416125622,1630.0384229510964,0.06063562493227466,14,13,2584737,0.0,8611,1365,2280,0.7548917080325501,0.0,0.24510829196744993,12019566,0.4160908166966795,163.83578727521262,1
4,3,11,0.34407774626285154,10697,12493,12900,1.0457545712394851,1400.9920576555255,1820.849397168961,0.1662792686016824,4,2,1879611,0.18607660873172105,39642,5531,2942,0.6457545712394851,0.12882622251635653,0.2254192062441584,8684856,0.24465723955543164,304.38763088668105,1
8,3,22,0.19624568435758669,11920,14609,14609,1.0,1497.2099090579572,1696.920076070849,0.17109768990179608,5,3,787592,0.07916448007451057,23940,2993,1784,0.7763264114609717,0.0,0.2236735885390283,3570184,0.2371132082571609,169.2992243699015,1
2,1,10,0.11,9355,11468,11503,1.0051960560973006,992.6723585838325,1224.777392990991,0.3357306791496892,9,3,1282679,0.0,46933,3248,3198,0.6744118317080986,0.1338561495928012,0.2,6397950,0.5736666362923286,101.64503633272895,1
11,3,26,0.1369844505228608,28837,33965,28190,0.8111674722438487,224.24734762289614,697.3693375103312,0.002321208238124311,5,2,630798,0.0,24415,5177,2037,0.75,0.05,0.2,4075280,0.42389220003226225,254.44680259740576,1
1,9,20,0.449551420319212,15405,18007,18405,1.027895331407816,1564.5409830002304,1221.4551898516956,0.2717212561695946,5,15,1480448,0.21227394581943912,38467,8,4440,0.5699252367198687,0.2,0.23007476328013132,8881362,0.328491905457968,0.42546006653562785,1
11,3,19,0.17146398431164536,9768,11021,11021,1.0,1040.8116403183444,993.6072526349586,0.0735576410772483,6,13,628642,0.0,28090,2122,936,0.7423775147078325,0.038414990194778356,0.21920749509738918,2814826,0.3897399384128802,348.70773638693845,1
10,0,21,0.0,2572,2982,2283,0.7523134761616189,151.55392906677815,274.5863432322196,0.08425687601466103,4,8,4453250,0.10947190473970686,39609,1939,8359,0.7379659206474994,0.06568314284382411,0.2,16733696,0.29193761175125565,23.941037589062272,1
10,7,24,0.3109391980455911,12413,14286,14399,1.008154721758968,1571.3168234071609,643.7657998705993,0.10532092866744477,13,10,1782119,0.07954180579740944,49908,3004,2982,0.5599668821498498,0.19229831833875244,0.24773479951139776,5775500,0.24364421726059377,100.73174977331249,1
4,6,11,0.3923527935580591,8121,9621,10246,1.0637461261462648,1205.266471428763,907.2575961395081,0.16861364851271318,2,5,1362538,0.08646059145578956,46919,2409,4459,0.6,0.2,0.2,8920642,0.37443428689308456,54.1317164735564,1
3,0,6,0.068844590728566,9314,11065,11813,1.082310818542868,1008.793084044044,1247.6562040910824,0.4057550187332862,8,1,1262585,0.0,35477,2298,3374,0.6750343966285695,0.1312242025285729,0.2,6497209,0.49229577926084733,71.820510787949,1
6,9,21,0.4018817551480526,12465,15956,12484,0.8814426789468404,781.5859561440158,885.8906460459532,0.10027317457986343,6,5,2525784,0.0,1139,-24661,7832,0.7496863741419912,0.050313625858008776,0.2,15500627,0.3235470036875343,-317.724007338473,1
7,5,13,0.3768555301228618,7571,9000,9287,1.0315722349385692,1248.5178026693202,2776.524580929957,0.12581758491605105,10,4,1456946,0.17129796823766447,15542,1755,3552,0.7356489841188323,0.06435101588116778,0.2,7010213,0.4861955980839885,49.68759836391575,1
1,1,15,0.08563017211046285,10898,12916,9293,0.7826311015657481,562.7975662568626,397.7162450845451,0.01644572289333692,6,3,3568407,0.263477452647578,188939,4897,1433,0.75,0.0,0.25,14334130,0.2645158228903976,339.29716608294575,1
7,3,12,0.24881852447941416,9570,12570,15429,1.2452740979176566,595.6769397845475,1079.7715777996339,0.5641821961471164,5,3,797016,0.0,12597,-813,3155,0.6246640984373286,0.17533590156267134,0.2,5133237,0.6134151211254157,-18.96266169712662,1
9,6,19,0.33623081190209886,11358,12987,13823,1.0650601876819699,2022.9340215413765,2918.5101164609723,0.24958912199328046,3,3,2657658,0.24100152379906853,18287,4060,3949,0.6091739371620558,0.09435450020796562,0.2964715626299785,7866599,0.3055455769912008,102.93773925641572,1
4,5,11,0.42297098766635793,7273,8352,8352,1.0,1050.7905743863741,1796.4660841068517,0.26881687629926987,14,8,1636608,0.11885983192422067,85388,3806,3068,0.7,0.1,0.2,6138029,0.289202697770832,124.07607276770814,1
2,16,24,0.6728419461537621,9247,10690,11159,1.0445069227920758,1513.0948215983972,2877.4660879321923,0.19676146454142515,10,2,1994034,0.002762478558436993,13175,3589,1095,0.798674434472919,0.0,0.2013255655270811,9869013,0.27026616029057793,361.0707281625209,1
6,2,6,0.40041815118351126,11209,12813,12813,1.0,943.3954327283457,1645.479159475272,0.2303074397412852,9,4,1460623,0.0,90305,5196,3226,0.7414224418726537,0.05857755812734633,0.2,6231453,0.3422378079283799,158.1710745532176,1
12,2,19,0.1225516493007589,7832,9790,9820,1.0047815806860034,648.2311446594126,1141.6712299055587,0.13053335400264754,10,14,2099887,0.023441699313131614,84703,7926,5742,0.7282069072427487,0.07179309275725128,0.2,11905976,0.41014850963153204,138.27362549992242,1
3,10,17,0.588773708893794,9226,12089,12301,1.021226291106206,1354.9737032210337,1543.0714562218095,0.05407360375185668,5,1,1819952,0.10617390811324268,49075,-1606,2186,0.74,0.06,0.2,9273954,0.35003192866974797,251.47570748580165,1
7,4,10,0.41927908302750005,27384,32443,37532,1.1234196088552173,943.754382895178,972.4989387715339,0.37354165805888795,4,2,2081330,0.09708129854425113,38798,681,3755,0.7522366014758696,0.04776339852413044,0.2,8990190,0.3709456534134402,26.054284482327233,1
6,3,14,0.19058065228287052,15830,17259,17437,1.053506767233647,1513.0080084307963,1582.2350220509143,0.3177087131477464,6,4,3535067,0.0,42993,11592,7130,0.6192986465532706,0.1307013534467294,0.25,20513423,0.1751340070957887,125.71166129432525,1
9,3,19,0.19040781795406683,16395,19853,19602,0.9520583960523702,810.7801941037152,1895.1845048184507,0.14476208810627011,10,6,656341,0.0,41055,4798,2682,0.7,0.07708735547542417,0.22291264452457585,5367044,0.430004271242361,178.98861545908343,1
5,2,18,0.1590519705641756,5799,6853,7217,1.040894488961566,1407.1843246551905,1580.9398491359257,0.14697818391932307,5,3,2068157,0.17459737258109917,38275,2903,2393,0.6954561678931593,0.0818246715726374,0.22271916053420326,8343423,0.2543758638321052,243.37127134283202,1
11,1,24,0.04409746338564323,10412,12830,12830,1.0,1257.9777444368997,1355.0678022965785,0.21371245443243367,4,3,682263,0.0,19925,3653,1708,0.8,0.0,0.2,3418203,0.2204733590748024,213.19677432432587,1
8,2,10,0.1003866858282013,8150,9352,9352,1.0,908.7986538500968,1597.153218228186,0.07023206981596083,10,7,834044,0.05984590885912001,30304,4320,2180,0.6538610263780078,0.14613897362199227,0.2,6265643,0.4368618831764841,565.3021842282385,1
1,11,21,0.5480595281911957,13231,17537,18883,1.0768952451059133,1419.3854419267645,4264.062306454036,0.10847863951830887,10,2,850162,0.0,45205,838,955,0.7038809436176086,0.09611905638239143,0.2,8305103,0.39210919203606565,89.12709990796702,1
3,1,9,0.1705755891481192,10658,13028,13218,1.0094649358043937,1164.2895784213156,1249.255966006711,0.3752125900759332,10,2,1264979,0.0,51488,3375,3184,0.6890535064195606,0.11621402567824254,0.20473246790219682,6368180,0.5263550929597183,105.81991832535527,1
3,3,13,0.23195791134789298,10832,12975,14216,1.091957911347893,1554.133716663161,2646.9352729718116,0.12491654081830827,6,14,1639158,0.0,19838,-1227,4011,0.7402104432605352,0.009789556739464822,0.25,8025447,0.25416512954074444,-31.311029022534207,1
10,6,22,0.28474051380746357,18346,24069,25930,1.0744510959299869,1967.1403028963875,1567.693452785715,0.3781235540844584,4,1,3279191,0.0,16386,-869,10805,0.602080839026255,0.14791916097374502,0.25,20358383,0.23067419986532528,-6.850483476701342,1
11,10,24,0.43798443997245146,7979,10000,10100,1.0100778001377426,1427.7894943125405,1816.2049011632885,0.07545683031832096,4,2,1010581,0.0,7217,1062,2674,0.7828677397658375,0.007054460096419866,0.2100778001377427,5465295,0.5573551830904921,39.522814355534614,1
3,7,12,0.6625290514828647,11383,12865,12872,1.0012755277956085,1720.327671618438,1633.2619396004645,0.25587521142123537,4,11,2108309,0.006073334489661524,30590,4631,9563,0.75,0.0,0.25,19172667,0.21934681295673306,48.53418203831777,1
2,14,22,0.6461675123691207,7642,9708,10094,1.0684450972673916,1352.7319882276972,1098.9187744360534,0.18063084413297192,9,3,2735191,0.03777718430237136,12570,-4998,7308,0.7047221480377964,0.09055570392440716,0.20472214803779643,15477224,0.36132570125376784,-64.26328579167324,1
9,4,21,0.2349020320249071,9475,10816,9707,0.904902032024907,280.5238019883452,863.5988262535876,0.3126314805497591,3,6,1124088,0.0,103121,9769,2648,0.7158496613291822,0.08415033867081784,0.2,4990450,0.4669608636757464,364.66871908510507,1
2,15,25,0.6022700163160787,10402,13238,15074,1.1236266108541473,1347.35645775857,635.6806171158881,0.5671322112501842,9,17,2442593,0.26805495605437796,58374,8045,5305,0.7743049081231818,0.03498320539221603,0.2,10621356,0.31128489509726637,151.71258547017973,1
3,4,14,0.28508731933231374,8521,10957,11979,1.0885331680618109,1794.2862424993766,2398.7878697859887,0.17487588923670683,3,4,2340512,0.0,36073,2050,4605,0.7195692689088128,0.030430731091187165,0.25,12400000,0.24358626352964505,77.08907172562752,1
11,2,25,0.12085872823213818,2910,3594,3341,0.9239612220127491,369.63178886962277,156.22208287228193,0.008050971360685305,8,13,2795191,0.0,177728,6056,5456,0.7,0.1,0.2,10931024,0.27636206006763375,111.11490389322367,1
2,15,22,0.6920875418498191,7034,9034,10011,1.1074400870690593,1486.0808426263936,1193.5060237321802,0.1946970190824458,10,3,2674435,0.004403050241218254,1780,-5351,7772,0.7011635967867913,0.09767280642641742,0.2011635967867913,15588364,0.3679632896811309,-66.64224431779739,1
6,0,11,0.024119097263438347,4759,5749,4728,0.9387745992543488,329.35034668126747,619.4321768078692,0.18889566445813505,8,12,4405569,0.31855315174110643,103796,2447,6519,0.6522637820893277,0.14660432686600844,0.2092765758705532,15195915,0.25179394739049993,29.58767074518592,1
12,9,25,0.37745161801812804,9006,10808,10949,1.022548381981872,1258.4994494593266,1499.9635573588382,0.03305491553144932,6,5,1535567,0.11054344266612745,7672,473,5732,0.77181452252266,0.028185477477339994,0.2,11425483,0.49929129917136145,7.274062673668489,1
6,5,11,0.49328088274160503,12708,15181,14472,0.9704587930945859,1035.528054169228,789.656917692634,0.190983251993215,8,13,797158,0.0,5856,-636,1939,0.7440917586189172,0.05,0.20590824138108282,4043627,0.6245838428809469,-32.827826720209345,1
10,7,23,0.3272936551172264,18606,24000,25393,1.055738973229132,1842.6309078759978,1575.9056710794605,0.43867943695855494,5,1,7151437,0.0,106860,8535,9796,0.6303262834635849,0.13483685826820752,0.23483685826820755,36412277,0.2603946158889674,123.60662447621672,1
12,3,21,0.17307971604741973,8927,11484,11484,1.0,754.1627121652934,1267.037007878032,0.09663454467073432,7,11,2246511,0.0,56365,2615,8133,0.7559740007254081,0.04402599927459188,0.2,12011317,0.39254398806157026,69.3293349695297,1
2,2,17,0.18841791134268615,7049,9031,9452,1.0385769590531064,596.4379499900967,1002.7288405295692,0.028909720285170457,1,13,1166917,0.0,7581,1495,3211,0.6098022389178357,0.18529664162324638,0.20612639932364735,6423472,0.5503019583036067,46.52964053822211,1
4,3,19,0.14973934342941714,7707,9486,9633,1.0220521313141167,708.2721460040285,1222.467129083388,0.060686784876739244,3,11,1172148,0.04106398821039771,21354,3383,2535,0.6158957373717668,0.18410426262823315,0.2,6378166,0.5420685194020383,400.41159656794684,1
6,2,9,0.21213923721539393,18330,20757,24266,1.1758955720884545,768.0491366765766,1132.1488867718365,0.4465715791685473,13,13,1413411,0.0,16428,4739,2839,0.7598259534807575,0.04017404651924243,0.2,5684175,0.48413086218376,166.89843469631597,1
9,5,19,0.23795239403431256,19410,24282,25717,1.0574372341942955,1862.9835680832025,1474.3086191839393,0.38892735628662234,4,1,3215389,0.0,26621,3364,10592,0.6084610371771392,0.1415389628228608,0.25,20230779,0.21495764508698045,35.58271608783578,1
10,5,27,0.2040429582032531,4090,5198,5306,0.9508110950693363,499.463427573666,130.435672423799,0.10834458543189876,9,16,2731721,0.05120905233482801,178266,6796,5415,0.7141951635023778,0.0875792319354194,0.2,10846768,0.2467420568106782,125.63618281319688,1
5,6,22,0.3076536879102146,15644,19467,16799,0.9077274581071175,1316.8949201131372,1563.1692167174206,0.08376860628311979,5,3,766542,0.1255027864743515,25276,2227,1893,0.75,0.01246926241795708,0.2375307375820429,3787378,0.31321747993801385,117.6262459061383,1
2,4,17,0.17976246165429632,11459,13746,15034,1.0884100843560358,877.6580552120377,1226.2205863618867,0.46705233799966733,5,2,2055768,0.058495518596876635,73028,9518,4064,0.6386330521465472,0.16136694785345282,0.2,9653450,0.4631391497324149,255.03526990230955,1
2,1,14,0.12876566846008752,13694,16374,10926,0.6731333031397779,40.91219751831875,123.47987696196515,0.006649635851047581,0,4,3561987,0.3990505142000673,116708,-184,1488,0.7488606170400808,0.001709074439878805,0.24952525710003365,14310444,0.272159780092617,-14.59432803154418,1
7,2,21,0.14854236368811352,4975,5977,5331,0.7709208939954564,553.6230718909922,364.5071344161659,0.0058179092444511134,1,9,4092918,0.07806726447164189,4841,1065,5762,0.7793691161544287,0.0,0.22063088384557134,16509717,0.2927778923145498,28.79044645075036,1
5,3,15,0.23627981914207216,9578,11376,12488,1.0962798191420722,1595.442511359926,2567.3257314030307,0.15607749601434034,6,10,1725596,0.0,30338,875,4077,0.7186009042896391,0.03139909571036084,0.25,8156715,0.27417556262779413,20.420288500337982,1
7,4,11,0.45975433293355944,16451,18715,19006,1.0335380558887004,1207.7449650135059,1572.4406962702492,0.11526510177260674,4,1,1407957,0.0,55244,6433,3363,0.7686978145038796,0.02012283353322028,0.21117935196290016,6311847,0.39930937435996094,188.78052423480233,1
7,3,13,0.2747991149367455,7670,9868,9868,1.0,1336.9851569384516,1561.2259303015849,0.0856149798545715,5,10,2044304,0.0,38165,4204,2767,0.7365919645974698,0.030448212415181072,0.2329598229873491,12229598,0.3030872984773431,162.40450478428954,1
8,6,16,0.42961359884053474,7984,9588,9761,1.009693974415501,1271.5185738585878,2898.4375841405285,0.11682436753408121,10,4,1520772,0.18615146512071296,18977,2324,3532,0.7423833058163921,0.05761669418360789,0.2,7041128,0.4949350206314497,65.81356903282301,1
7,4,9,0.5274349329238928,12101,14809,16371,1.0669904697788386,1205.0542138166063,1471.0033582287767,0.1246421304494938,4,2,1901227,0.21468902923593725,55799,-9199,3862,0.7428317449631398,0.05716825503686024,0.2,9203030,0.3810558741646247,-234.2764931830406,1
7,2,17,0.11286982082125055,16198,20211,13284,0.6585798805475004,52.824380185802006,373.9602911710805,0.002101774914975077,1,6,2894216,0.17159761095000736,50462,-25255,5033,0.7785502986312491,0.0,0.22144970136875092,14928106,0.2743985209041874,-331.49762177813074,1
8,1,13,0.09010452813497968,7277,8953,8953,1.0,566.2128049446038,959.3945027188831,0.16308919592431323,5,3,678065,0.0,4897,-776,3341,0.6124564466104251,0.18754355338957487,0.2,6682645,0.5155608008862306,-21.914789086088803,1
3,3,13,0.23245457125915317,10688,12791,14018,1.0924545712591534,1558.8807920949862,2637.7867974063984,0.1284974587784944,6,14,1649091,0.0,21045,-985,4019,0.7377271437042341,0.012272856295765883,0.25,8040531,0.25646466492987924,-25.36623038409796,1
10,6,20,0.29021830884601374,14587,16690,16896,1.0144373416370305,1220.0811131581418,1322.6190872609561,0.1424306595323568,9,7,2850005,0.47819961412808387,135925,13512,5528,0.7979375226232814,0.003093716065077978,0.2,11048438,0.2668161862023466,243.98581971100674,1
7,5,17,0.30631071519651704,19220,21671,23928,1.0992808197347523,1402.7124386471867,1161.5729455632816,0.1013224184090619,1,16,619489,0.30082088379629957,13768,3342,2042,0.75,0.004872354666021664,0.24512764533397835,4104585,0.3358862777284636,162.6342028434628,1
5,10,23,0.45641814056092145,11287,12885,12885,1.0,1515.1763613517217,1317.7873951028168,0.13515800687745314,14,11,1806304,0.20134135346143733,49337,3680,3022,0.6257878558671786,0.1494747627552143,0.22473738137760715,5948093,0.281655905928474,121.5364306625039,1
8,5,17,0.33115243889582596,6210,6884,7214,1.057852022627542,1592.4809580110773,1448.3861192025151,0.23259802497609705,0,11,4694663,0.27545827345371027,187917,9543,8957,0.75,0.0,0.25,17960313,0.2835207228089547,107.40848406306517,1
5,4,13,0.31719801595877556,29630,34902,40597,1.144396031917551,1057.1958092038708,1192.8739273147369,0.44464317748734916,4,3,2204396,0.0,25784,6811,3867,0.7375965279278571,0.046400992020612236,0.2160024800515306,8739717,0.3343716251891,182.5214068823412,1
10,7,24,0.2991046456992401,12301,14268,14529,1.0188058188706839,1532.3639860867638,657.0305578680068,0.12389525857504269,13,10,1788805,0.09526992586570993,48073,2991,2975,0.572984889730836,0.1822389488443541,0.24477616142481,5773567,0.25127750352399014,100.50727277716344,1
3,4,12,0.3755680671493665,8083,10656,11045,1.031136134298733,1719.0101155282912,1771.9316311580612,0.2703407846698405,5,12,2088076,0.0,9112,-2188,3106,0.7322159664253167,0.02167605036202489,0.25,12272345,0.2841017183046316,47.35619323706197,1
3,6,16,0.40620682198189556,11010,14005,16989,1.208807858337167,1834.1967863011087,3731.651445412611,0.5549713255537657,3,1,1778154,0.10385644644807454,14788,1457,5108,0.7483743522779552,0.002167530296059672,0.2494581174259851,10193540,0.2098762220424942,28.664860255853604,1
7,4,9,0.4829687557554675,17921,20379,20502,1.0141927035371103,1140.2890110536682,1578.2546194969805,0.10911327972480112,4,1,1384861,0.0,62231,7093,3407,0.786753476698697,0.008515622122266267,0.20473090117903683,6331520,0.42572222877066523,206.95615760699388,1
7,2,10,0.18365146707144533,7932,9006,10734,1.1972613996964159,910.217353579952,1220.3541450800374,0.4196506363825159,10,13,1419251,0.0,11905,2767,2831,0.7954356661606934,0.004564333839306678,0.2,5665021,0.2773096509386932,97.70663932799276,1
10,2,21,0.11126177261686267,6818,8371,8371,1.0,1129.5117017034977,1381.0254258369846,0.04912759652164544,9,4,1982077,0.22422742880897137,63369,4976,814,0.7680686362409586,0.03193136375904149,0.2,8154181,0.2414437749932527,610.8153887282666,1
10,7,24,0.32049938032949193,7505,8595,9830,1.1425092950576206,1575.1540046349173,1545.0585463067293,0.16063465769922064,4,2,1545960,0.0,17841,2509,3094,0.6619975213179679,0.09049938032949195,0.24750309835254025,6191266,0.2417581905621165,81.1024753586835,1
2,16,24,0.6493764311012848,9338,10792,11246,1.0429635711837466,1465.6753403105636,2753.730915014561,0.20414425929797425,10,2,2003414,0.0035809818470271815,16818,4009,1174,0.7901214293875113,0.009878570612488785,0.2,9847355,0.28370116689049296,363.13346295542186,1
9,2,19,0.16762509314958868,9639,11786,12587,1.0612658695176702,426.97841992071096,831.4335817549616,0.38735026081884827,2,7,1000624,0.0,10063,1097,2924,0.6697186956627399,0.13028130433726007,0.2,5042092,0.4739815654969843,55.26043901465653,1
10,6,19,0.31995092968773814,16213,19477,21373,1.075820465460376,1583.5690032027417,2502.1962896856,0.224190649551497,6,4,747265,0.0,13121,2851,2707,0.73681627878302,0.031591860608489966,0.23159186060848996,5415826,0.48478213212601123,105.6031810042318,1
9,2,14,0.1469067313186992,8806,11085,13136,1.1889689104395664,936.3879000282925,1025.4448117572542,0.4100225898461572,7,7,1679230,0.183833107524626,16272,2666,2853,0.7834533656593496,0.016546634340650408,0.2,5707656,0.31478031945051493,93.4004141286107,1
5,4,16,0.26021641639620646,11645,14348,16172,1.1294752459811355,1539.5948861087059,6069.283068072342,0.30794017760624026,10,7,950740,0.0,14613,-6087,3258,0.601049508037729,0.16361103054717419,0.23533946141509676,8469411,0.3437488275558457,-121.55142108976321,1
8,7,27,0.28419220904605547,5360,6816,7272,0.9855928454350806,670.1147928681354,232.12390024309258,0.20068257140287069,9,16,2673529,0.09485258779375776,154136,7048,5393,0.7262931636295933,0.07699348182410588,0.2,10801400,0.2597322844472758,130.88445536287455,1
5,2,8,0.3639770301684742,11836,13705,13967,1.0294733389530666,1270.1922555180581,1557.9491033369225,0.16888426576750937,4,1,1780114,0.25454823562515905,43944,6645,2447,0.6294733389530665,0.1541525838507854,0.2163740771961481,8723130,0.23371263340733917,394.9081320090824,1
2,5,14,0.3473337829393624,16232,18984,18984,1.0,1488.5589715833244,1327.529808955515,0.31986160852268497,7,13,1600000,0.24420114649537414,31011,573,3734,0.5623812735281161,0.2,0.237618726471884,8880446,0.21427618726471884,103.09599927769432,1
11,4,19,0.22250525737644908,26831,30310,30310,1.0,1410.2806029902015,1743.3773955697577,0.16023410899219034,11,8,841684,0.0,51994,3825,1506,0.7687368565588774,0.020842095627415153,0.21042104781370757,3198485,0.3744208466726052,320.84876138816907,1
2,4,15,0.3025954643013615,7632,9711,10896,1.1026503585632919,1783.2839747428789,2466.930574960475,0.19372906993254246,6,4,2521038,0.0,39357,2062,5135,0.7184152742882178,0.031584725711782155,0.25,12315847,0.2797108106684214,65.17019756675985,1
7,3,12,0.22195480740239756,5183,6002,6185,1.0127688544268167,814.5994612387076,922.5264431423163,0.10285684977330331,5,3,2736731,0.026322081339852043,22998,4044,5515,0.7072964882438952,0.09361557278659167,0.2,11054396,0.5021577992502013,73.64768894779765,1
7,2,10,0.19977681218810325,13818,15657,18393,1.1851673908589224,829.7438187752707,1170.4260452625854,0.43488908751775757,11,13,1415945,0.0,14466,3884,2835,0.7752789847648709,0.024721015235129075,0.2,5675863,0.39437965648562967,136.87227334980446,1
7,2,6,0.4792788463940081,13827,15827,15942,1.0086338140024966,1290.9797821088282,1289.2963128990657,0.15927096671609783,5,2,1282732,0.0,46156,2491,4043,0.7861858975960054,0.010936164403162415,0.20287793800083223,8088459,0.37202996798314114,62.54019382442358,1
7,5,17,0.25558951235849026,6351,7527,8076,1.0989151988182724,944.7824149191199,1167.0248592806201,0.1680491931225426,4,14,2768273,0.0,4963,-3602,6720,0.7774764441161868,0.022523555883813225,0.2,13454952,0.3054412043387783,-54.12707925024603,1
3,10,19,0.53,9000,11662,11662,1.0,1563.8357504624348,2091.4623476057045,0.15306810451653496,5,1,1223387,0.0,7683,-4223,4790,0.699737745123604,0.050262254876396066,0.25,9582037,0.382865430331002,-88.29109914697771,1
5,1,4,0.0842218629312752,6324,7394,7619,1.01122958172417,697.3979554065357,1396.2953528781436,0.012824182329002162,9,8,699196,0.0,10712,1636,3156,0.653368874517251,0.14213929279308096,0.205614790862085,6314207,0.4461488459409243,51.824635226234065,1
4,7,15,0.42525294661093876,13210,16289,18824,1.1535091501255208,1210.1548716366487,29735.26416756101,0.32232886325683713,5,4,2194725,0.1890784568435795,32798,2034,2526,0.6973627481171882,0.07018300251041575,0.23245424937239606,10470183,0.31599731235479656,134.36054344864965,1
7,0,13,0.07063463868579153,20600,22401,22272,0.9543438635932338,1335.7407446359628,1024.6242863765087,0.37559969121169645,3,2,3160256,0.0,54532,15742,9742,0.649901392792693,0.10595195802868729,0.2441466491786197,19530745,0.18013904115942098,159.63576223369833,1
7,5,13,0.37708365989675224,7571,9000,9285,1.0314581700516239,1248.763410294751,2777.4748451335627,0.1256448284600049,10,4,1457102,0.17140166358943285,15550,1756,3552,0.7357008317947165,0.06429916820528359,0.2,7010411,0.48626714787670866,49.715833414685626,1
2,11,19,0.5980755315858736,9784,12926,13046,1.0119244684141264,1378.0050162066232,1517.846773445428,0.055487480801052785,5,1,1811209,0.059646191007460186,45247,1809,1634,0.74,0.06,0.2,9276165,0.33901857060232565,433.84687926063134,1
2,3,16,0.18453458100512168,16281,21098,17389,0.8454454841709347,721.229788202314,778.4675706858773,0.056331305139526264,5,8,817587,0.06383393981352115,23533,-1180,1902,0.7190890968341869,0.030910903165813054,0.25,3806113,0.24907516029790014,-58.67509882810283,1
7,1,7,0.1764041634042045,25292,29150,34543,1.179775464775442,898.368342504367,921.4586497009836,0.6760163147887422,4,1,1216980,0.0,7030,-3875,3238,0.8,0.0,0.2,6431877,0.49022364165863597,-122.05826999255923,1
11,8,23,0.3440197068381505,7747,9621,9705,1.0151392251006994,1258.8538861655384,1298.7718863930277,0.058581920798247394,8,14,2117586,0.0,3547,-10220,6689,0.7542053403057499,0.04579465969425013,0.2,13408410,0.3609660580304808,-152.93946338808647,1
9,2,17,0.1589709260562264,9368,10689,11137,1.0598061737081759,1147.4648148157166,1184.3445836265096,0.20787197413034955,10,4,1213214,0.0,19348,1821,1227,0.7228933955394967,0.0771066044605032,0.2,5502173,0.2158216403401899,223.4304440178348,1
11,6,23,0.2778171098090742,5718,6534,6724,1.011642081018271,1338.5752356885093,7130.546391532818,0.11390097366396924,5,2,1656922,0.0,33790,1110,5059,0.7854473987271613,0.014552601272838707,0.2,10136381,0.43716067047177193,21.874314669807347,1
11,2,24,0.12246979584967507,2956,3638,3391,0.926032594663868,380.07703069166473,177.75031914039369,0.00924546292283051,8,13,2794477,0.0,173447,5990,5459,0.7,0.1,0.2,10935627,0.28301807085322905,109.87408384806912,1
4,2,11,0.22943695590095473,12532,14915,16768,1.1364381995559154,932.6633285183958,987.6391856728874,0.4061007361516621,6,5,1335250,0.0,16461,2105,2941,0.6587515545687008,0.14124844543129925,0.2,5884936,0.1965605969543811,71.832379716082,1
