상장 시기(상장월),최근 공모주 동향(최근 3개월 내의 종속변수 1인 갯수),최근 3개월 공모주 수,"최근 ""따"" 비율",희망공모가_하한,희망공모가_상한,공모가,밴드수익률(공모가/공모가_상한),기관경쟁률,청약경쟁률,의무보유확약,대표주간사,IPO 주간사 순위,총 공모주식 수,구주매출(비율),매출액(백만원),순이익(백만원),자본금(백만원),전문투자자(비율),우리사주조합(비율),일반청약자(비율),공모후 상장주식수(주식수),유통가능주식합계(비율),ROE,종속변수
10,5,24,0.21,25000,30000,20000,0.67,40.4,51.08,0.0,1,7,500000,0.0,895,-4001,2752,0.8,0.0,0.2,5504470,0.5216,-145.38517441860466,0
12,2,26,0.08,6000,7000,7000,1.0,997.33,1147.7,0.0247,11,1,1000000,0.0,38120,2549,4654,0.8,0.0,0.2,9308185,0.7379,54.77009024495057,0
6,1,3,0.33,33000,37000,30000,0.81,131.67,68.09,0.0225,5,1,1000000,0.0,123937,20127,3883,0.8,0.0,0.2,8166558,0.6791,518.3363378830801,0
10,1,17,0.06,7500,8900,8900,1.0,558.92,6.42,0.0874,0,9,2000000,0.0,4886,-24,4978,0.7,0.05,0.25,9957595,0.2734,-0.48212133386902367,0
6,1,7,0.14,41000,48000,48000,1.0,647.18,588.96,0.1325,14,7,1160000,0.0,177220,14820,2887,0.7,0.1,0.2,5775200,0.5551,513.335642535504,0
9,10,25,0.4,15000,19000,19000,1.0,1210.28,1161.84,0.0439,15,15,2000000,0.3,37783,5544,3632,0.77,0.04,0.2,7264943,0.5004,152.6431718061674,0
1,15,24,0.63,13000,15000,16000,1.07,1453.12,939.39,0.1264,0,12,1300000,0.2308,60015,3174,4419,0.6,0.2,0.2,8839014,0.5007,71.82620502376103,1
11,4,19,0.21,31000,35000,35000,1.0,1393.98,1802.1,0.1683,10,6,800000,0.0,59294,4317,1822,0.8,0.0,0.2,3234533,0.3843,236.93743139407246,1
4,1,10,0.1,10000,12000,12000,1.0,689.9,955.33,0.4973,4,2,1940000,0.0,52713,7608,4729,0.6,0.2,0.2,9459737,0.3523,160.87967857898076,0
11,1,17,0.06,23000,26000,18000,0.69,47.27,3.08,0.0089,24,9,4375000,0.0,31291,3109,8723,0.66,0.14,0.2,17500000,0.4454,35.64140777255531,0
12,1,30,0.03,10500,11500,8000,0.7,60.5,479.79,0.002,1,13,1250000,0.0,19421,5340,2487,0.75,0.05,0.2,4975000,0.2387,214.71652593486127,1
8,0,15,0.0,4700,5700,6000,1.05,1087.6,1019.62,0.0,11,1,1784500,0.2031,16434,2130,1590,0.8,0.0,0.2,7288035,0.4735,133.96226415094338,1
7,2,9,0.22,13500,16000,18000,1.13,918.99,1015.13,0.094,15,18,1500000,0.0,47470,4420,2931,0.62,0.18,0.2,5745000,0.5686,150.80177413851928,0
8,8,17,0.47,6500,8500,9000,1.06,1296.86,2036.0,0.0,11,5,37200000,0.543,66136,5528,5453,0.75,0.05,0.2,10900000,0.315,101.37538969374656,1
9,3,22,0.14,13300,15100,15100,1.0,1117.61,728.28,0.0877,5,3,700000,0.0,39627,4165,2010,0.8,0.0,0.2,4021000,0.4436,207.2139303482587,0
1,1,30,0.03,13000,16800,13000,0.77,136.97,789.84,0.0597,14,13,900000,0.0,50873,3745,1730,0.74,0.06,0.2,3460340,0.398,216.47398843930637,0
1,0,17,0.0,2700,3100,3100,1.0,998.9,565.18,0.039,3,9,6500000,0.0,189024,4031,10417,0.75,0.0,0.25,19435815,0.385,38.69636171642507,0
4,12,22,0.55,9500,11500,13000,1.13,1508.95,2053.27,0.1605,5,1,1000000,0.0,15327,-1518,2315,0.75,0.0,0.25,4630000,0.216,-65.57235421166307,1
11,0,16,0.0,4500,5600,5600,1.0,262.22,1170.44,0.0,24,11,1900000,0.0,41632,3886,3729,0.67,0.13,0.2,7459009,0.3901,104.21024403325288,0
8,3,13,0.23,3400,5300,3600,0.68,93.06,0.77,0.0,14,13,20000000,0.0,206207,0,84649,0.8,0.0,0.2,80700000,0.2477,0.0,0
6,2,6,0.33,5700,6600,6600,1.0,839.16,1690.0,0.3192,14,7,1526180,0.0,106532,3513,3075,0.7,0.1,0.2,6150486,0.2695,114.24390243902438,1
8,2,10,0.2,8700,10000,10000,1.0,751.89,827.74,0.089,4,2,1390530,0.1438,13193,2995,2401,0.73,0.08,0.2,4803836,0.324,124.73969179508538,0
12,2,30,0.07,190000,210000,150000,0.71,6.7,91.63,0.0861,5,1,360000,0.0,23269,10758,1642,0.72,0.08,0.2,3284058,0.4678,655.1766138855055,0
8,5,17,0.29,14500,17500,20000,1.14,666.88,1001.61,0.6387,4,3,1800000,0.0,35084,6272,3533,0.64,0.16,0.2,6720250,0.3462,177.52618171525617,1
7,0,8,0.0,15500,18800,20000,1.06,729.64,795.94,0.2748,7,9,800000,0.0,50876,4951,2484,0.68,0.12,0.2,4968000,0.3971,199.31561996779388,0
1,7,19,0.394401805132389,15504,18619,18619,1.0,1585.2676118617524,1426.0818975718491,0.2965369969477384,8,14,1646001,0.15399871061972217,27906,-184,3642,0.593701224911264,0.16779909743380553,0.23849967765493055,8994425,0.23981571238260352,117.46424925489316,1
5,4,10,0.2608597753982322,9979,12293,14705,1.1884178972503157,1002.7052879632388,848.8891787057064,0.37026468759468945,6,1,2532373,0.0,10550,-6146,7871,0.7784178972503157,0.02158210274968432,0.2,15678417,0.494578695552749,-78.09513611469006,1
12,4,21,0.18919300007800993,6944,8680,8868,1.03016876193448,877.6551016018956,1213.3011617981354,0.11212764759750202,10,14,1940008,0.1479023553837881,63230,6425,5835,0.71868671427457,0.08131328572543,0.2,11937710,0.4066895061864271,111.11608736152279,1
1,0,15,0.03072508739775648,5573,6384,6384,1.0,1555.1574162035126,932.2694614320874,0.03733217438915829,17,4,3608534,0.016147740376820905,300510,13568,1448,0.75,0.0,0.25,14459743,0.24998277971995014,940.1014850402266,1
